Example program for rho-mu library.
Copyright (C) 2017-2022 Vincent A. Cicirello
This program comes with ABSOLUTELY NO WARRANTY.  This is free
software, and you are welcome to redistribute it under certain
conditions.  See the GNU General Public License for more
details: https://www.gnu.org/licenses/gpl-3.0.html

 Bound	       TLR	    BIASED	         t	       dof
   290	 0.1196875	 0.0007813	  140.1475	       136
   291	 0.1192188	 0.0012500	  131.4286	       152
   292	 0.1196875	 0.0007813	  145.2104	       139
   293	 0.1200000	 0.0004688	  153.2479	       125
   294	 0.1200000	 0.0004688	  153.2479	       125
   295	 0.1192188	 0.0012500	  135.6462	       155
   296	 0.1189063	 0.0014063	  128.3582	       156
   297	 0.1192188	 0.0014063	  133.6699	       160
   298	 0.1200000	 0.0006250	  150.2419	       132
   299	 0.1190625	 0.0014063	  132.9660	       160
   300	 0.1195313	 0.0009375	  136.9916	       141
   301	 0.1195313	 0.0010938	  139.4279	       151
   302	 0.1200000	 0.0004688	  153.2479	       125
   303	 0.1212500	 0.0007813	  133.5614	       131
   304	 0.1201563	 0.0009375	  146.0223	       147
   305	 0.1207813	 0.0006250	  157.6698	       136
   306	 0.1195313	 0.0007813	  139.2259	       135
   307	 0.1200000	 0.0009375	  139.8295	       143
   308	 0.1192188	 0.0014063	  133.6699	       160
   309	 0.1198438	 0.0006250	  149.0299	       132
   310	 0.1200000	 0.0006250	  150.2419	       132
   311	 0.1200000	 0.0006250	  150.2419	       132
   312	 0.1200000	 0.0006250	  150.2419	       132
   313	 0.1198438	 0.0007813	  146.2917	       139
   314	 0.1195313	 0.0010938	  139.4279	       151
   315	 0.1190625	 0.0015625	  131.1273	       165
   316	 0.1198438	 0.0006250	  149.0299	       132
   317	 0.1200000	 0.0003125	  156.4909	       116
